ID,Name,Description
M1038,Execution Prevention,System settings can prevent applications from running that haven't been downloaded from legitimate repositories which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk.
M1028,Operating System Configuration,"Applications with known vulnerabilities or known shell escapes should not have the setuid or setgid bits set to reduce potential damage if an application is compromised. Additionally, the number of programs with setuid or setgid bits set should be minimized across a system. Ensuring that the sudo tty_tickets setting is enabled will prevent this leakage across tty sessions."
M1026,Privileged Account Management,"Remove users from the local administrator group on systems. By requiring a password, even if an adversary can get terminal access, they must know the password to run anything in the sudoers file. Setting the timestamp_timeout to 0 will require the user to input their password every time sudo is executed."
M1022,Restrict File and Directory Permissions,The sudoers file should be strictly edited such that passwords are always required and that users can't spawn risky processes as users with higher privilege.
M1052,User Account Control,"Although UAC bypass techniques exist, it is still prudent to use the highest enforcement level for UAC when possible and mitigate bypass opportunities that exist with techniques such as  DLL Search Order Hijacking ."
M1018,User Account Management,"Limit the privileges of cloud accounts to assume, create, or impersonate additional roles, policies, and permissions to only those required. Where just-in-time access is enabled, consider requiring manual approval for temporary elevation of privileges."
M1056,Pre-compromise,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
G0067,APT37,APT37  has used malware that will issue the command  shutdown /r /t 1  to reboot a system after wiping its MBR. 
G0082,APT38,"APT38  has used a custom MBR wiper named BOOTWRECK, which will initiate a system reboot after wiping the victim's MBR. "
S1053,AvosLocker,AvosLocker ’s Linux variant has terminated ESXi virtual machines. 
S1033,DCSrv,DCSrv  has a function to sleep for two hours before rebooting the system. 
S0697,HermeticWiper,HermeticWiper  can initiate a system shutdown.  
S0607,KillDisk,KillDisk  attempts to reboot the machine by terminating specific processes. 
G0032,Lazarus Group,Lazarus Group  has rebooted systems after destroying files and wiping the MBR on infected systems. 
S0372,LockerGoga,LockerGoga  has been observed shutting down infected systems. 
S0582,LookBack,LookBack  can shutdown and reboot the victim machine. 
S0449,Maze,"Maze  has issued a shutdown command on a victim machine that, upon reboot, will run the ransomware within a VM. "
S0368,NotPetya,NotPetya  will reboot the system one hour after infection.  
S0365,Olympic Destroyer,Olympic Destroyer  will shut down the compromised system after it is done modifying system configuration settings.  
S0140,Shamoon,Shamoon  will reboot the infected system once the wiping functionality has been completed.  
S0689,WhisperGate,WhisperGate  can shutdown a compromised host through execution of  ExitWindowsEx  with the  EXW_SHUTDOWN  flag. 
S0660,Clambling,Clambling  has the ability to use Telnet for communication. 
S0038,Duqu,"Duqu  uses a custom command and control protocol that communicates over commonly used ports, and is frequently encapsulated by application layer protocols. "
S0601,Hildegard,Hildegard  has used an IRC channel for C2 communications. 
S0532,Lucifer,Lucifer  can use the Stratum protocol on port 10001 for communication between the cryptojacking bot and the mining server. 
G0059,Magic Hound,Magic Hound  malware has used IRC for C2.  
S0034,NETEAGLE,Adversaries can also use  NETEAGLE  to establish an RDP connection with a controller over TCP/7519.
S1084,QUIETEXIT,QUIETEXIT  can use an inverse negotiated SSH connection as part of its C2. 
G0106,Rocke,Rocke  issued wget requests from infected systems to the C2. 
S0623,Siloscape,Siloscape  connects to an IRC server for C2. 
G0139,TeamTNT,TeamTNT  has used an IRC bot for C2 communications. 
M1031,Network Intrusion Prevention,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.
C0025,2016 Ukraine Electric Power Attack,"During the  2016 Ukraine Electric Power Attack ,  Sandworm Team  used the  sp_addlinkedsrvlogin  command in MS-SQL to create a link between a created account and other servers in the network. "
G0022,APT3,APT3  has been known to add created accounts to local admin groups to maintain elevated access. 
G0096,APT41,APT41  has added user accounts to the User and Admin groups. 
S0274,Calisto,Calisto  adds permissions and remote logins to all users. 
G0035,Dragonfly,Dragonfly  has added newly created accounts to the administrators group to maintain elevated access. 
G1016,FIN13,FIN13  has assigned newly created accounts the sysadmin role to maintain persistence. 
G0125,HAFNIUM,HAFNIUM  has granted privileges to domain accounts. 
G0094,Kimsuky,Kimsuky  has added accounts to specific groups with  net localgroup . 
G0032,Lazarus Group,Lazarus Group  malware WhiskeyDelta-Two contains a function that attempts to rename the administrator’s account.  
G0059,Magic Hound,Magic Hound  has added a user named DefaultAccount to the Administrators and Remote Desktop Users groups. 
S0002,Mimikatz,The  Mimikatz  credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality. The  LSADUMP::ChangeNTLM  and  LSADUMP::SetNTLM  modules can also manipulate the password hash of an account without knowing the clear text value.  
S0382,ServHelper,"ServHelper  has added a user named ""supportaccount"" to the Remote Desktop Users and Administrators groups. "
S0649,SMOKEDHAM,SMOKEDHAM  has added user accounts to local Admin groups. 
M1032,Multi-factor Authentication,Use multi-factor authentication for user and privileged accounts.
